State_name, county_name,CrimeRate,PopulationDensity(P/sqMi),Median_Age_ACS_14_18,Poverty%2018
SouthDakota,Todd county,0,7.31,24.3,0.54
SouthDakota,OglalaLakota county,0,6.85,25.3,0.49
Mississippi,Jefferson county,15,14.13,39.3,0.47
SouthDakota,Mellette county,4,1.57,33,0.47
SouthDakota,Jackson county,0,1.76,30.6,0.46
SouthDakota,Corson county,1,1.69,28.7,0.44
Mississippi,Holmes county,0,23.89,35.1,0.42
Mississippi,Claiborne county,22,18.71,33.7,0.41
SouthDakota,Ziebach county,0,1.43,31.6,0.41
Georgia,Clay county,4,15.36,45.1,0.4
Georgia,Clinch county,33,8.43,37.7,0.39
Texas,Zapata county,14,14.39,29.6,0.39
SouthDakota,Buffalo county,0,4.36,25.8,0.39
Alabama,Greene county,55,13.02,42.5,0.38
Alabama,Perry county,22,13.18,37.7,0.38
Mississippi,Humphreys county,0,20.4,38,0.38
Mississippi,Leflore county,97,50.3,33.8,0.37
NewMexico,McKinley county,536,13.37,32,0.36
Kentucky,Bell county,47,75.73,41.6,0.36
Georgia,Randolph county,18,16.55,40,0.36
Kentucky,Clay county,17,43.94,39.7,0.36
Texas,Brooks county,17,7.61,32.7,0.36
Texas,Starr county,167,52.24,28.7,0.35
Arizona,Apache county,79,6.39,34.7,0.35
Kentucky,Harlan county,17,58.25,41.2,0.35
Kentucky,Breathitt county,4,26.64,41.6,0.35
Mississippi,Quitman county,0,18.2,38.4,0.35
Georgia,Turner county,101,27.9,38.8,0.34
Texas,Zavala county,18,9.35,32.9,0.34
SouthDakota,Bennett county,16,2.9,29,0.34
Kentucky,McCreary county,7,41.32,40,0.34
Kentucky,Leslie county,4,26.12,41.8,0.34
Kentucky,Owsley county,4,22.61,42.5,0.34
SouthCarolina,Dillon county,285,76.25,37.5,0.33
Arkansas,Phillips county,146,27.36,38.5,0.33
Mississippi,Washington county,132,64.97,36.9,0.33
Montana,Glacier county,31,4.57,31.4,0.33
Texas,Presidio county,6,1.85,41.8,0.33
Mississippi,Pike county,0,97.15,37.3,0.33
Mississippi,Coahoma county,0,43.09,34.2,0.33
Mississippi,Bolivar county,0,37.18,35.2,0.33
Mississippi,Issaquena county,0,3.22,40.1,0.33
Kentucky,Knox county,21,81.46,40,0.32
Kentucky,Letcher county,13,67.11,42.2,0.32
Kentucky,Estill county,7,56.56,43.7,0.32
Kentucky,Wolfe county,6,32.51,41.6,0.32
Kentucky,Knott county,3,44.13,42.6,0.32
Georgia,Candler county,0,44.55,37.8,0.32
Wisconsin,Menominee county,0,12.8,31.7,0.32
Texas,Hidalgo county,2622,540.71,29.1,0.31
Alabama,Dallas county,380,40.9,39.5,0.31
Texas,Willacy county,160,36.84,33.6,0.31
Mississippi,Adams county,97,68.22,41,0.31
WestVirginia,McDowell county,66,36.02,44.6,0.31
Georgia,BenHill county,63,68.58,39.7,0.31
Georgia,Terrell county,34,26.41,40.9,0.31
Kentucky,Floyd county,20,93.88,41.9,0.31
Texas,Cottle county,4,1.8,37.9,0.31
Kentucky,Lee county,2,32.32,44.1,0.31
Texas,Culberson county,0,0.59,43,0.31
Texas,Cameron county,1351,473.38,31.5,0.3
Texas,Webb county,1031,80.93,28.6,0.3
NewMexico,Luna county,171,8.18,37.8,0.3
Alabama,Monroe county,105,20.97,42.3,0.3
Virginia,Radfordcity,102,1786.04,22.9,0.3
Illinois,Alexander county,92,27.74,42.8,0.3
Alabama,Wilcox county,72,12.17,40.8,0.3
Georgia,Crisp county,67,83.81,38.8,0.3
Alabama,Bullock county,33,16.62,39.6,0.3
Idaho,Madison county,21,82.49,23.4,0.3
Tennessee,Perry county,20,19.08,43,0.3
Texas,Dimmit county,10,8.02,33.7,0.3
Colorado,Costilla county,8,3.01,51.3,0.3
Kentucky,Jackson county,5,38.74,41,0.3
Georgia,Atkinson county,0,24.35,35.5,0.3
SouthDakota,Dewey county,0,2.51,27.8,0.3
Georgia,Clarke county,502,1045.31,27.7,0.29
Mississippi,Scott county,92,46.64,36.5,0.29
WestVirginia,Mingo county,66,58.47,42.7,0.29
Arkansas,Desha county,62,15.47,39.1,0.29
Alabama,Sumter county,57,14.37,35.8,0.29
Virginia,Nortoncity,15,533.35,37.3,0.29
Montana,Blaine county,8,1.59,33.8,0.29
Georgia,Jenkins county,0,25.42,43.7,0.29
Mississippi,Noxubee county,0,15.58,36.4,0.29
Mississippi,Wilkinson county,0,13.26,37.5,0.29
NewYork,Bronx county,8486,34158.6,33.9,0.28
Georgia,Dougherty county,863,277.01,35.1,0.28
Arizona,Navajo county,304,10.92,36.4,0.28
NewMexico,Socorro county,89,2.56,39.2,0.28
Georgia,Early county,81,20.19,40.7,0.28
Mississippi,Marion county,76,46.47,40.4,0.28
Alabama,Lowndes county,56,14.3,41.6,0.28
Virginia,Emporiacity,33,780.53,38.4,0.28
Arkansas,Monroe county,28,11.94,47,0.28
Missouri,Shannon county,28,8.21,45.1,0.28
Kentucky,Fulton county,6,30.22,43.1,0.28
Kentucky,Lewis county,5,27.94,42.9,0.28
Nebraska,Thurston county,4,18.14,27.8,0.28
Georgia,Taliaferro county,2,8.56,46.3,0.28
WestVirginia,Webster county,0,15.39,46.8,0.28
NorthCarolina,Robeson county,613,140.58,36.4,0.27
Florida,DeSoto county,155,57.14,40.6,0.27
Missouri,Pemiscot county,154,34.58,37.8,0.27
Texas,Maverick county,103,45.32,29.6,0.27
Mississippi,Oktibbeha county,88,107.99,25.8,0.27
Georgia,Brooks county,78,31.68,43,0.27
Montana,Roosevelt county,70,4.77,30.3,0.27
Missouri,Ripley county,49,21.75,42.7,0.27
Arkansas,Chicot county,41,16.8,42.7,0.27
NewMexico,Hidalgo county,23,1.27,43.3,0.27
Arkansas,Nevada county,17,13.66,44.8,0.27
Mississippi,Kemper county,9,13.19,41.8,0.27
Kentucky,Magoffin county,4,41.06,42.1,0.27
Georgia,Echols county,4,9.63,40.9,0.27
Texas,JimHogg county,4,4.65,34.7,0.27
Mississippi,Sunflower county,0,38.02,35.3,0.27
Mississippi,Walthall county,0,36.15,39.9,0.27
Mississippi,Yazoo county,0,30.31,35.7,0.27
Mississippi,JeffersonDavis county,0,28.14,44.3,0.27
WestVirginia,Clay county,0,25.69,43.9,0.27
Mississippi,Montgomery county,0,25.06,42.1,0.27
NorthCarolina,Scotland county,243,110.59,39.4,0.26
Florida,Hendry county,215,34.81,33.9,0.26
Georgia,Sumter county,212,62.88,35.5,0.26
Georgia,Laurens county,163,58.74,38.3,0.26
SouthCarolina,Barnwell county,160,39.35,40.9,0.26
Missouri,Dunklin county,157,56.24,39.9,0.26
NewMexico,SanMiguel county,134,5.94,43.2,0.26
Georgia,Bulloch county,133,111.15,28.5,0.26
Alabama,Barbour county,106,29.14,39.9,0.26
Georgia,Emanuel county,82,33.06,36.8,0.26
NorthCarolina,Bladen county,78,38.63,43.6,0.26
Ohio,Athens county,72,130.93,28.9,0.26
Montana,BigHorn county,71,2.68,30.8,0.26
Virginia,Buchanan county,50,44.03,46.5,0.26
Georgia,Berrien county,43,42.1,39.7,0.26
Kentucky,Pike county,30,76.87,42.1,0.26
Alabama,Hale county,29,23.12,39.2,0.26
Georgia,Irwin county,24,26.16,39.9,0.26
Tennessee,Clay county,22,32.49,48.8,0.26
Georgia,Twiggs county,19,23.11,46.2,0.26
Kentucky,Perry county,17,79.24,41.2,0.26
Georgia,Evans county,17,58.66,37.7,0.26
Georgia,Taylor county,15,21.75,44.4,0.26
Utah,SanJuan county,15,1.95,31.5,0.26
Missouri,Ozark county,14,12.4,51.3,0.26
Kentucky,Lawrence county,10,37.98,41.1,0.26
Georgia,Warren county,10,18.8,45.2,0.26
Kentucky,Casey county,6,35.56,42.9,0.26
Georgia,Bacon county,0,43.42,37,0.26
Kentucky,Robertson county,0,21.45,44.1,0.26
NorthCarolina,Jones county,0,20.6,47.2,0.26
California,Tulare county,1756,95.45,30.8,0.25
Georgia,Bibb county,767,614.53,36.2,0.25
Arkansas,Mississippi county,432,47.56,36.2,0.25
Illinois,Jackson county,246,100.24,31.6,0.25
NorthCarolina,Halifax county,235,71.45,43.1,0.25
Virginia,Petersburgcity,232,1387.83,38.7,0.25
Tennessee,Cocke county,215,81.31,44.9,0.25
Alabama,Pike county,188,49.7,30.8,0.25
Florida,Madison county,162,26.55,42.9,0.25
Texas,Kleberg county,160,35.66,28,0.25
NewMexico,Cibola county,148,5.94,36.8,0.25
Alabama,Clarke county,116,19.69,42.3,0.25
Florida,Hardee county,75,42.69,35.1,0.25
NewMexico,Torrance county,61,4.66,43.6,0.25
Washington,Adams county,48,10.11,28.3,0.25
Kentucky,Whitley county,35,82.43,36.8,0.25
Georgia,McDuffie county,28,83.5,37.6,0.25
Kentucky,Grayson county,24,52.7,40.5,0.25
Kentucky,Carter county,15,66.64,41,0.25
Georgia,Wilkinson county,14,20.29,41.8,0.25
Kentucky,Carroll county,10,83.31,38.1,0.25
Tennessee,Hancock county,8,29.62,44.6,0.25
Kentucky,Nicholas county,6,36.38,41.5,0.25
Georgia,Webster county,4,12.5,45,0.25
Georgia,Colquitt county,0,83.81,36.4,0.25
WestVirginia,Lincoln county,0,48.23,43,0.25
Mississippi,Leake county,0,39.23,36.6,0.25
Mississippi,Newton county,0,37.23,36.6,0.25
Mississippi,Calhoun county,0,24.84,40.8,0.25
Mississippi,Webster county,0,23.35,39.8,0.25
Mississippi,Sharkey county,0,10.45,42.1,0.25
Pennsylvania,Philadelphia county,15673,11748.51,34.3,0.24
Missouri,St.Louiscity,5760,5027.42,35.5,0.24
California,Fresno county,5264,164.17,32,0.24
Florida,Putnam county,388,100.01,45,0.24
Georgia,Lowndes county,319,230.98,30.2,0.24
Georgia,Baldwin county,316,175.63,35.3,0.24
SouthCarolina,Marion county,235,64.51,40.4,0.24
Georgia,Decatur county,184,44.94,38.1,0.24
Michigan,Isabella county,178,123.59,27.7,0.24
SouthCarolina,Williamsburg county,173,34.03,42.1,0.24
NorthCarolina,Sampson county,144,67.28,40.3,0.24
Arkansas,Hempstead county,140,30.26,39.9,0.24
Georgia,Burke county,140,27.27,37.5,0.24
NorthCarolina,Duplin county,139,72.36,40.6,0.24
Mississippi,Forrest county,127,161.94,32.4,0.24
Virginia,Harrisonburgcity,113,3065.1,25.1,0.24
Arkansas,Ouachita county,113,32.9,42.3,0.24
Alabama,Geneva county,111,46.12,42.4,0.24
Georgia,Jefferson county,80,29.96,39.3,0.24
Arizona,SantaCruz county,66,37.66,36.6,0.24
NorthCarolina,Watauga county,64,173.14,31.2,0.24
Missouri,Adair county,63,44.64,27.7,0.24
SouthCarolina,Bamberg county,63,37.12,41.9,0.24
Arkansas,Polk county,60,23.51,43.7,0.24
Texas,Duval county,60,6.33,36.1,0.24
NewMexico,Sierra county,59,2.66,56,0.24
NewMexico,Roosevelt county,57,7.81,29.8,0.24
WestVirginia,Boone county,56,45.49,42.7,0.24
Tennessee,Grundy county,54,36.98,43.2,0.24
Georgia,Washington county,54,30.16,40.6,0.24
Missouri,Wright county,51,26.83,42,0.24
Georgia,Cook county,49,75.65,37.4,0.24
Virginia,Martinsvillecity,39,1195.89,40.8,0.24
SouthCarolina,Allendale county,38,22.58,40.2,0.24
Georgia,Brantley county,37,41.96,40.9,0.24
Georgia,Franklin county,30,86.1,41,0.24
Georgia,Wilkes county,30,21.05,46.1,0.24
Colorado,Otero county,29,14.52,40.2,0.24
Virginia,Charlotte county,27,25.45,45.8,0.24
Missouri,Wayne county,26,17.53,47.3,0.24
Georgia,Seminole county,23,35.87,44,0.24
Virginia,Galaxcity,22,805.58,45.1,0.24
Kentucky,Wayne county,16,44.98,42.6,0.24
NorthCarolina,Alleghany county,14,46.68,49.5,0.24
Kentucky,Russell county,13,70.02,43.1,0.24
Arkansas,Woodruff county,11,11.35,45.6,0.24
Texas,Somervell county,10,46.89,40.9,0.24
Kentucky,Lincoln county,9,73.21,40.5,0.24
Texas,Cochran county,6,3.75,34.5,0.24
Kentucky,Monroe county,3,32.29,41.6,0.24
Kentucky,Elliott county,2,32.08,41.9,0.24
Georgia,Stewart county,1,13.17,36.4,0.24
Mississippi,Grenada county,0,50.41,39.8,0.24
Mississippi,Covington county,0,46.14,37.7,0.24
Mississippi,Simpson county,0,45.95,39.2,0.24
Mississippi,Amite county,0,17.08,46.5,0.24
Michigan,Wayne county,17798,2877.76,37.9,0.23
Virginia,Richmondcity,1310,3741.51,33.8,0.23
NorthCarolina,Pitt county,720,272.05,32.2,0.23
Texas,Brazos county,674,374.4,26.2,0.23
California,Imperial county,630,43.15,32.4,0.23
SouthCarolina,Orangeburg county,444,79.97,39.6,0.23
NorthCarolina,Vance county,259,175.46,40.7,0.23
NorthCarolina,Edgecombe county,253,105.54,41,0.23
SouthCarolina,Marlboro county,247,56.56,40.3,0.23
Texas,JimWells county,241,47.62,34.8,0.23
Georgia,Tift county,230,156.46,35.5,0.23
NorthCarolina,Richmond county,227,95.37,40.5,0.23
Virginia,Charlottesvillecity,220,4593.95,31.3,0.23
NorthCarolina,Columbus county,216,60.06,42,0.23
Arkansas,St.Francis county,204,41.42,38.9,0.23
Tennessee,Warren county,185,93.5,40.2,0.23
WestVirginia,Logan county,178,74.49,43.3,0.23
SouthCarolina,Fairfield county,166,33.09,46.4,0.23
Tennessee,Carter county,154,165.27,44.9,0.23
Florida,Gadsden county,151,89.12,40.7,0.23
Alabama,Macon county,138,31.29,38,0.23
Alabama,Butler county,117,25.78,40.7,0.23
SouthCarolina,Lee county,110,42.92,41.9,0.23
Michigan,Clare county,107,54.25,47.2,0.23
Tennessee,Claiborne county,100,72.74,43,0.23
Washington,Whitman county,86,22.51,24.6,0.23
Georgia,Toombs county,81,74.31,36.4,0.23
Kentucky,Pulaski county,76,97.42,41.9,0.23
Arkansas,Columbia county,76,31.19,36,0.23
Texas,Shelby county,71,32.02,37.2,0.23
Georgia,Appling county,70,36.39,39,0.23
Florida,Holmes county,61,40.58,42.5,0.23
Mississippi,Clay county,56,48.3,39.5,0.23
Kentucky,Laurel county,55,138.68,39.6,0.23
Kentucky,Barren county,54,89.59,40.3,0.23
Georgia,Grady county,49,54.84,39.7,0.23
Florida,Hamilton county,48,27.77,41.5,0.23
Missouri,Morgan county,46,33.69,46.1,0.23
Texas,Lamb county,43,13.05,36,0.23
Kentucky,Taylor county,41,95.75,37.9,0.23
Georgia,Macon county,41,33.65,40.2,0.23
Georgia,Lanier county,40,55.95,35.4,0.23
Michigan,Lake county,38,20.73,52.7,0.23
NorthCarolina,Washington county,36,34.92,45.5,0.23
Missouri,Texas county,33,21.81,42.7,0.23
NewMexico,Colfax county,33,3.29,49,0.23
Texas,SanAugustine county,31,15.69,49.4,0.23
Virginia,Dickenson county,30,45.26,44.3,0.23
Arkansas,Bradley county,29,16.86,40.2,0.23
Texas,Falls county,25,22.6,39.3,0.23
Arkansas,Fulton county,23,19.64,48.1,0.23
Kentucky,Rowan county,19,87.56,30.4,0.23
Missouri,Oregon county,18,13.55,46.8,0.23
WestVirginia,Wetzel county,10,43.61,45.9,0.23
Texas,Hall county,9,3.48,43.5,0.23
Kentucky,Martin county,8,51.91,39.3,0.23
Kentucky,Metcalfe county,7,34.54,43.4,0.23
Kentucky,Clinton county,6,51.77,41.7,0.23
Nevada,Mineral county,6,1.19,50.1,0.23
NewMexico,Catron county,6,0.51,59.1,0.23
Mississippi,Choctaw county,5,19.9,44,0.23
Georgia,Quitman county,4,15.05,48.4,0.23
Texas,Hudspeth county,4,0.9,37.6,0.23
Texas,Delta county,1,20.31,42.3,0.23
NorthCarolina,Greene county,0,79,41.2,0.23
Mississippi,Prentiss county,0,61.11,39,0.23
Mississippi,Neshoba county,0,51.52,36.8,0.23
Mississippi,Copiah county,0,36.95,38.2,0.23
Mississippi,Attala county,0,25.28,39.7,0.23
Mississippi,Jasper county,0,24.44,40.6,0.23
Mississippi,Tallahatchie county,0,22.26,34.6,0.23
Mississippi,Benton county,0,20.3,40.4,0.23
Idaho,Camas county,0,0.82,46.3,0.23
California,Merced county,1487,139.06,30.9,0.22
Georgia,Richmond county,865,621.18,33.9,0.22
Arkansas,Crittenden county,624,80.38,35.1,0.22
SouthCarolina,Darlington county,456,119.85,41.4,0.22
Indiana,Monroe county,444,368.57,29.3,0.22
WestVirginia,Cabell county,444,339.19,38.5,0.22
NorthCarolina,Lenoir county,434,142.86,42.2,0.22
SouthCarolina,Greenwood county,432,154.52,39.4,0.22
Arizona,Gila county,303,11.22,49.7,0.22
SouthCarolina,Chesterfield county,203,57.6,42.3,0.22
Alabama,DeKalb county,196,91.62,39.3,0.22
Texas,Nacogdoches county,192,69.26,30.6,0.22
Georgia,Ware county,177,39.89,38.4,0.22
Alabama,Escambia county,169,39.5,39.7,0.22
SouthCarolina,Clarendon county,155,56.05,44.3,0.22
Ohio,Scioto county,143,125.17,39.9,0.22
Tennessee,Obion county,134,56.03,43,0.22
Virginia,Montgomery county,125,253.21,28.5,0.22
Missouri,Howell county,106,43.25,40.6,0.22
Georgia,Upson county,101,81.05,41.7,0.22
Alabama,Marengo county,88,20,42.7,0.22
Illinois,Saline county,80,63.8,42,0.22
SouthCarolina,Abbeville county,79,50.27,43.8,0.22
Arkansas,Franklin county,76,29.2,41.3,0.22
WestVirginia,Barbour county,75,49.05,41.7,0.22
WestVirginia,Wayne county,70,80.45,43.7,0.22
Missouri,Mississippi county,66,33.4,40.4,0.22
Arkansas,Johnson county,64,39.85,38,0.22
Georgia,Pulaski county,55,45.36,43,0.22
Tennessee,Scott county,51,41.24,38.9,0.22
Arizona,LaPaz county,50,4.6,56,0.22
Alabama,Conecuh county,48,14.72,44.8,0.22
Virginia,Bristolcity,46,1294.32,42.2,0.22
Georgia,Screven county,46,21.69,41.5,0.22
Mississippi,Tunica county,45,22.37,33.9,0.22
Georgia,Greene county,42,43.82,49.4,0.22
Ohio,Gallia county,41,64.72,40.6,0.22
NewMexico,Quay county,41,2.91,43.8,0.22
Ohio,Meigs county,37,53.85,43.6,0.22
Georgia,Johnson county,35,32.11,41,0.22
Alabama,Pickens county,35,23.03,42.4,0.22
Arkansas,Clay county,33,23.55,43,0.22
Arkansas,Scott county,33,11.7,41,0.22
Arkansas,Stone county,30,20.52,49.8,0.22
Virginia,Lee county,29,55.41,44.4,0.22
Missouri,NewMadrid county,29,26.39,41.7,0.22
Georgia,Charlton county,25,16.78,41.7,0.22
Mississippi,Lincoln county,24,58.75,38.6,0.22
Ohio,Adams county,24,47.75,42,0.22
Missouri,Dade county,22,15.49,46.4,0.22
Kentucky,Marion county,20,56.07,39.7,0.22
Georgia,Telfair county,20,36.85,41,0.22
Georgia,Dooly county,19,35.48,43.7,0.22
Kentucky,Johnson county,17,87.2,41.8,0.22
Alabama,Choctaw county,17,14.31,46.1,0.22
Kentucky,Union county,15,43.17,37.6,0.22
Arkansas,Lafayette county,13,13.09,46.3,0.22
Georgia,Miller county,11,20.66,43.8,0.22
Kansas,Woodson county,9,6.37,48.3,0.22
Georgia,Wheeler county,4,26.87,38.2,0.22
Colorado,Crowley county,4,7.15,35.6,0.22
Colorado,Conejos county,4,6.32,39.4,0.22
Kentucky,Morgan county,3,34.86,41.3,0.22
Texas,Real county,3,4.85,55,0.22
Kentucky,Menifee county,2,31.46,46.2,0.22
Mississippi,Winston county,0,30.23,41.6,0.22
Mississippi,Wayne county,0,25.19,38,0.22
Colorado,Alamosa county,0,22.76,30.4,0.22
SouthDakota,Lyman county,0,2.36,36,0.22
NewYork,Kings county,15395,36721.79,35.1,0.21
Maryland,Baltimorecity,9726,7593.67,35.1,0.21
California,Kern county,4797,108.59,31.5,0.21
Texas,ElPaso county,3056,827.15,32,0.21
Mississippi,Hinds county,1614,277.98,34.4,0.21
Florida,Alachua county,1455,300.74,31.3,0.21
NewMexico,SanJuan county,899,23.12,35,0.21
Arkansas,Jefferson county,719,80.88,38.8,0.21
Alabama,Lee county,652,262.18,31.4,0.21
NorthCarolina,Wayne county,497,224.2,37.6,0.21
Georgia,Spalding county,374,329.41,39.1,0.21
California,Lake county,343,51.05,45.6,0.21
California,Tehama county,341,21.48,40.9,0.21
NorthCarolina,Wilson county,321,220.92,40.6,0.21
SouthCarolina,Colleton county,304,35.56,42.2,0.21
Mississippi,Lauderdale county,284,109.89,37.8,0.21
Alabama,Marshall county,272,168.15,38.7,0.21
Virginia,Danvillecity,264,966.86,41.1,0.21
Arkansas,Miller county,235,69.95,38.9,0.21
SouthCarolina,Chester county,223,55.67,41.5,0.21
Missouri,Butler county,217,61.52,40.1,0.21
SouthCarolina,Union county,187,53.76,43.8,0.21
Florida,Okeechobee county,154,52.77,41.1,0.21
Missouri,Phelps county,152,66.67,35.2,0.21
Mississippi,Panola county,144,49.98,37.8,0.21
Mississippi,Jones county,143,98.52,37.2,0.21
Montana,Lake county,131,19.98,42.3,0.21
WestVirginia,Wyoming county,122,43.47,44.2,0.21
Tennessee,Johnson county,112,59.6,46.1,0.21
Virginia,Hopewellcity,94,2180.4,36.5,0.21
Missouri,Barry county,94,45.61,43.5,0.21
Georgia,Calhoun county,93,22.93,38.8,0.21
Tennessee,Rhea county,92,103.46,40.2,0.21
Georgia,Worth county,88,36.19,41.1,0.21
Arkansas,Logan county,82,30.72,41.5,0.21
Arkansas,Poinsett county,79,31.72,39.7,0.21
Florida,Dixie county,76,23.31,47.3,0.21
Georgia,Dodge county,74,42.18,41.6,0.21
Georgia,Butts county,72,128.8,38.5,0.21
NorthCarolina,Hertford county,72,68.41,42.1,0.21
Missouri,Henry county,68,31.23,44.2,0.21
Georgia,Meriwether county,65,42.12,41.6,0.21
Kentucky,Calloway county,62,100.71,35.3,0.21
Georgia,Pierce county,62,60.55,39.4,0.21
Georgia,Mitchell county,59,43.81,38.9,0.21
Tennessee,Union county,57,86.3,42.3,0.21
Wyoming,Albany county,52,8.92,27.3,0.21
Texas,Houston county,49,18.65,44,0.21
Tennessee,Unicoi county,45,95.51,46.6,0.21
NorthCarolina,Northampton county,42,37.62,49,0.21
Alabama,Washington county,41,15.41,43.6,0.21
Ohio,Highland county,40,77.76,40.4,0.21
Arkansas,Sevier county,38,30.42,34.9,0.21
SouthDakota,Clay county,34,33.78,25,0.21
NorthCarolina,Bertie county,34,28.09,45.2,0.21
Missouri,Barton county,34,20.02,41.4,0.21
WestVirginia,Braxton county,33,27.96,45.2,0.21
Texas,Sabine county,32,21.28,52.7,0.21
Tennessee,Fentress county,30,36.09,45,0.21
Arkansas,Lee county,29,15.6,41.8,0.21
Tennessee,Benton county,25,40.88,47.4,0.21
Missouri,Douglas county,24,16.44,47.6,0.21
Alabama,Lamar county,23,23.04,44.5,0.21
Idaho,Owyhee county,21,1.49,38.4,0.21
WestVirginia,Summers county,19,36.12,48.2,0.21
Texas,Stephens county,18,10.45,38.6,0.21
Ohio,Vinton county,15,31.79,42.2,0.21
Missouri,Dent county,15,20.6,44.4,0.21
WestVirginia,Lewis county,13,42.29,42.9,0.21
Kentucky,Rockcastle county,12,53.16,42.5,0.21
Illinois,Schuyler county,10,16.15,45.8,0.21
Arkansas,Searcy county,10,11.89,47.6,0.21
Kentucky,Hart county,9,45.2,40.2,0.21
NorthCarolina,Tyrrell county,9,10.59,49.2,0.21
Kentucky,Powell county,8,68.84,39.2,0.21
Georgia,Schley county,8,31.22,37.8,0.21
Kentucky,Webster county,6,39.63,41.1,0.21
Georgia,Marion county,5,23.18,45.2,0.21
Texas,Kimble county,5,3.52,52.9,0.21
Kentucky,Bath county,4,44,40.4,0.21
Kentucky,Cumberland county,3,22,46.1,0.21
Mississippi,Lowndes county,0,117.58,37.1,0.21
Mississippi,Lafayette county,0,84.63,29.9,0.21
Mississippi,Chickasaw county,0,34.44,36.8,0.21
Arkansas,Sharp county,0,28.2,47.4,0.21
Georgia,Baker county,0,9.33,47,0.21
NewMexico,Grant county,0,7.08,45.8,0.21
Tennessee,Shelby county,12685,1227.78,35.4,0.2
Michigan,Genesee county,2681,642.66,40.3,0.2
Georgia,Clayton county,1716,1968.37,32.4,0.2
Alabama,Montgomery county,1200,289.38,36.2,0.2
Georgia,Muscogee county,1160,908.92,33.9,0.2
Kansas,Wyandotte county,1134,1084.03,33.7,0.2
California,Madera county,956,72.54,33.9,0.2
Arkansas,Sebastian county,808,239.63,37.5,0.2
California,Butte county,734,138.76,37.1,0.2
Arizona,Yuma county,678,37.69,34.3,0.2
SouthCarolina,Sumter county,672,160.88,36.3,0.2
California,Humboldt county,584,38.05,38,0.2
Mississippi,Harrison county,471,353.01,36,0.2
Florida,Levy county,420,35.74,46.8,0.2
NewMexico,Chaves county,408,10.79,35.6,0.2
Missouri,Scott county,382,92.21,39.9,0.2
Virginia,Roanokecity,380,2340.83,38.7,0.2
Indiana,Delaware county,317,294.85,35.4,0.2
Alabama,Russell county,306,90.8,35.9,0.2
Alabama,Tallapoosa county,258,56.71,43.7,0.2
Michigan,Mecosta county,254,77.94,36.5,0.2
WestVirginia,Monongalia county,241,292.32,31.2,0.2
Arkansas,Union county,234,38.23,40.1,0.2
Georgia,Troup county,233,168.54,36.3,0.2
NewMexico,Otero county,229,9.94,35.6,0.2
SouthCarolina,Cherokee county,220,144.43,38.7,0.2
NewMexico,Curry county,207,35.73,31.1,0.2
Tennessee,Lauderdale county,186,55.71,38.2,0.2
NorthCarolina,Cleveland county,174,209.28,41.9,0.2
California,DelNorte county,167,27.25,38.6,0.2
Mississippi,Warren county,164,79.99,38.8,0.2
Alabama,Jackson county,163,48.33,43.3,0.2
Georgia,Gordon county,154,159.61,37.8,0.2
Illinois,Coles county,147,101.78,35.2,0.2
NorthCarolina,Wilkes county,144,90.76,44.5,0.2
Oregon,Klamath county,142,11.16,42.4,0.2
Georgia,Peach county,138,179.46,36.9,0.2
Tennessee,Hardin county,135,44.64,45.3,0.2
Texas,Matagorda county,128,33.39,37.8,0.2
Kansas,Crawford county,122,66.31,32.5,0.2
Texas,Aransas county,121,98.24,49.6,0.2
Virginia,Henry county,118,134.93,47.2,0.2
Georgia,Coffee county,118,74.7,36.2,0.2
Georgia,Thomas county,116,82.13,40.3,0.2
Tennessee,McNairy county,98,46.02,42.9,0.2
SouthCarolina,Jasper county,89,42.57,39.5,0.2
Arkansas,Arkansas county,88,18.33,41.4,0.2
Texas,Limestone county,87,25.98,40,0.2
Virginia,Wise county,85,96.79,40.7,0.2
Alabama,Franklin county,83,49.76,37.6,0.2
Ohio,Ashtabula county,82,139.81,42.4,0.2
Virginia,Accomack county,74,72.84,45.9,0.2
Washington,Okanogan county,73,7.9,42.9,0.2
NewYork,Montgomery county,71,122.63,41.4,0.2
Arkansas,Drew county,68,22.34,37,0.2
Arkansas,Ashley county,67,22.19,41.7,0.2
Texas,Marion county,66,26.47,50.1,0.2
NorthCarolina,Hoke county,65,136.25,32.5,0.2
Oregon,Malheur county,65,3.08,35.9,0.2
Texas,Erath county,62,38.3,30,0.2
Tennessee,Lewis county,58,42.38,43.9,0.2
Arkansas,Marion county,56,27.53,51.7,0.2
Georgia,JeffDavis county,52,45.33,36.7,0.2
WestVirginia,Hampshire county,52,36.49,46.5,0.2
Florida,Washington county,47,42.15,41.8,0.2
Texas,Camp county,43,65.43,38.7,0.2
Texas,Swisher county,40,8.41,35.7,0.2
Kentucky,Montgomery county,38,140.65,39.1,0.2
WestVirginia,Roane county,38,29.38,45.1,0.2
Missouri,Nodaway county,37,25.71,29.2,0.2
Texas,Eastland county,37,19.72,42.4,0.2
Virginia,Alleghany county,31,34.32,47.4,0.2
Kentucky,Ohio county,30,40.99,40.6,0.2
Missouri,Iron county,28,18.57,45.4,0.2
Virginia,Grayson county,19,35.76,47.7,0.2
Georgia,McIntosh county,18,33.28,49.7,0.2
Georgia,Long county,17,45.36,32.7,0.2
SouthDakota,CharlesMix county,13,8.51,35.9,0.2
